Shortcut,Action,Application,OS,Category,Description,Frequency
Shift+F,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+G,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+H,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+I,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+J,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+K,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+L,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+M,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+N,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+O,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+P,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+Q,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+R,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+S,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+T,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+U,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+V,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+W,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+X,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+Y,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+Z,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F1,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F2,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F3,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F4,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F5,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F6,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F7,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F8,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F9,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F10,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F11,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F12,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F13,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F14,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F15,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F16,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F17,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F18,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F19,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F20,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F21,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F22,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F23,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+F24,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+0,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+1,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+2,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+3,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+4,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+5,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+6,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+7,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+8,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Shift+9,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+A,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+B,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+C,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+D,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+E,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+G,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+H,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+I,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+J,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+K,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+L,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+M,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+N,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+O,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+P,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+Q,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+R,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+S,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+T,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+U,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+V,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+W,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+X,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+Y,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+Z,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F1,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F2,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F3,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F4,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F5,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F6,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F7,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F8,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F9,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F10,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F11,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F12,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F13,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F14,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F15,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F16,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F17,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F18,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F19,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F20,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F21,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F22,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F23,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+F24,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+0,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+1,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+2,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+3,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+4,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+5,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+6,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+7,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+8,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Cmd+9,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+A,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+B,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+C,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+D,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+E,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+G,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+H,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+I,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+J,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+K,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+L,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+M,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+N,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+O,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+P,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+Q,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+R,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+S,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+T,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+U,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+V,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+W,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+X,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+Y,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+Z,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F1,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F2,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F3,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F4,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F5,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F6,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F7,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F8,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F9,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F10,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F11,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F12,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F13,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F14,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F15,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F16,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F17,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F18,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F19,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F20,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F21,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F22,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F23,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+F24,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+0,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+1,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+2,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+3,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+4,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+5,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+6,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+7,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+8,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Win+9,Application Shortcut,Word,Cross Platform,Generated Index,Potential shortcut mapping for Word,Medium
Ctrl+A,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+B,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+C,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+D,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+E,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+G,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+H,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+I,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+J,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+K,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+L,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+M,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+N,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+O,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+P,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+Q,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+R,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+S,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+T,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+U,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+V,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+W,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+X,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+Y,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+Z,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F1,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F2,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F3,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F4,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F5,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F6,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F7,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F8,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F9,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F10,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F11,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F12,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F13,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F14,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F15,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F16,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F17,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F18,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F19,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F20,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F21,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F22,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F23,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+F24,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+0,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+1,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+2,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+3,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+4,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+5,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+6,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+7,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+8,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Ctrl+9,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+A,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+B,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+C,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+D,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+E,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+G,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+H,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+I,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+J,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+K,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+L,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+M,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+N,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+O,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+P,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+Q,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+R,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+S,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+T,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+U,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+V,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+W,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+X,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+Y,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+Z,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F1,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F2,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F3,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F4,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F5,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F6,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F7,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F8,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F9,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F10,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F11,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F12,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F13,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F14,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F15,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F16,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F17,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F18,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F19,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
Alt+F20,Application Shortcut,Excel,Cross Platform,Generated Index,Potential shortcut mapping for Excel,Medium
